"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 00:00","2025","05","01","00:00","","8.4","","-1.6","","49","","0.0","","","","","","","","100.67","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 01:00","2025","05","01","01:00","","7.6","","-2.2","","50","","0.0","","","","","","","","100.65","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 02:00","2025","05","01","02:00","","7.7","","-2.5","","48","","0.0","","","","","","","","100.61","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 03:00","2025","05","01","03:00","","7.4","","-2.4","","50","","0.0","","","","","","","","100.56","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 04:00","2025","05","01","04:00","","6.9","","-2.9","","50","","0.0","","","","","","","","100.53","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 05:00","2025","05","01","05:00","","6.5","","-1.3","","57","","0.0","","","","","","","","100.51","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 06:00","2025","05","01","06:00","","7.0","","-1.4","","55","","0.0","","","","","","","","100.51","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 07:00","2025","05","01","07:00","","7.7","","-1.9","","51","","0.0","","","","","","","","100.50","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 08:00","2025","05","01","08:00","","7.6","","-1.7","","52","","0.0","","","","","","","","100.47","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 09:00","2025","05","01","09:00","","8.8","","0.8","","57","","0.0","","","","","","","","100.39","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 10:00","2025","05","01","10:00","","9.0","","0.7","","56","","0.0","","","","","","","","100.44","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 11:00","2025","05","01","11:00","","8.3","","3.2","","70","","1.0","","","","","","","","100.24","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 12:00","2025","05","01","12:00","","9.2","","2.0","","61","","0.0","","","","","","","","100.06","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 13:00","2025","05","01","13:00","","8.9","","2.0","","62","","0.2","","","","","","","","100.02","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 14:00","2025","05","01","14:00","","10.0","","2.9","","61","","0.2","","","","","","","","99.85","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 15:00","2025","05","01","15:00","","9.4","","4.0","","69","","1.9","","","","","","","","99.74","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 16:00","2025","05","01","16:00","","10.3","","3.7","","64","","0.7","","","","","","","","99.60","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 17:00","2025","05","01","17:00","","10.3","","6.0","","75","","2.3","","","","","","","","99.59","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 18:00","2025","05","01","18:00","","9.8","","7.4","","85","","4.9","","","","","","","","99.54","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 19:00","2025","05","01","19:00","","9.6","","7.8","","89","","0.2","","","","","","","","99.41","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 20:00","2025","05","01","20:00","","8.6","","6.9","","90","","0.0","","","","","","","","99.47","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 21:00","2025","05","01","21:00","","7.5","","6.2","","91","","0.2","","","","","","","","99.42","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 22:00","2025","05","01","22:00","","7.7","","6.2","","90","","0.0","","","","","","","","99.37","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01 23:00","2025","05","01","23:00","","7.7","","6.2","","90","","0.0","","","","","","","","99.31","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 00:00","2025","05","02","00:00","","8.4","","7.0","","91","","0.0","","","","","","","","99.20","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 01:00","2025","05","02","01:00","","8.7","","7.5","","92","","0.1","","","","","","","","99.13","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 02:00","2025","05","02","02:00","","9.3","","8.2","","93","","0.0","","","","","","","","99.10","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 03:00","2025","05","02","03:00","","9.3","","8.1","","92","","0.0","","","","","","","","99.15","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 04:00","2025","05","02","04:00","","9.8","","8.8","","94","","0.0","","","","","","","","99.14","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 05:00","2025","05","02","05:00","","9.4","","8.5","","94","","0.0","","","","","","","","99.18","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 06:00","2025","05","02","06:00","","10.1","","9.0","","93","","0.0","","","","","","","","99.23","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 07:00","2025","05","02","07:00","","11.6","","9.6","","88","","0.0","","","","","","","","99.29","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 08:00","2025","05","02","08:00","","14.6","","11.0","","79","","0.0","","","","","","","","99.30","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 09:00","2025","05","02","09:00","","16.3","","9.7","","65","","0.0","","","","","","","","99.37","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 10:00","2025","05","02","10:00","","17.2","","9.6","","61","","0.0","","","","","","","","99.40","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 11:00","2025","05","02","11:00","","18.7","","9.3","","55","","0.0","","","","","","","","99.36","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02 12:00","2025","05","02","12:00","","19.0","","10.1","","56","","0.0","","","","","","","","99.44","","","","","","NA"
